firm_name,group,product_category,complaints_opened,complaints_closed,period_label,period_order,period_start,period_end,year,half,pre_post_duty,upheld_pct,pct_closed_3days,firm_type,record_id,complaints_change_abs,complaints_change_pct,upheld_change_ppts,high_uphold_flag,upheld_band
AJ Bell Management Limited,AJ BELL GROUP,Decumulation & Pensions,763,772.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,47.4,44.2,Investment Platform,27,97.0,14.6,-4.4,0,Moderate (35-50%)
AJ Bell Securities Limited,NO GROUP,Banking & Credit Cards,40,38.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,29.0,26.3,Investment Platform,28,,,,0,Lower (<35%)
AJ Bell Securities Limited,AJ BELL GROUP,Banking & Credit Cards,23,27.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,59.3,25.9,Investment Platform,29,-17.0,-42.5,30.3,1,High (50-70%)
AJ Bell Securities Limited,NO GROUP,Decumulation & Pensions,120,129.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,37.2,17.0,Investment Platform,30,,,,0,Moderate (35-50%)
AJ Bell Securities Limited,AJ BELL GROUP,Decumulation & Pensions,132,130.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,54.6,26.9,Investment Platform,31,12.0,10.0,17.4,1,High (50-70%)
AJ Bell Securities Limited,NO GROUP,Investments,608,600.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,51.7,34.2,Investment Platform,32,,,,1,High (50-70%)
AJ Bell Securities Limited,AJ BELL GROUP,Investments,537,545.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,50.1,35.6,Investment Platform,33,-71.0,-11.7,-1.6,1,High (50-70%)
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",Insurance & Pure Protection,15948,14458.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,63.5,36.7,Other Financial Services,34,,,,1,High (50-70%)
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",Insurance & Pure Protection,17561,16411.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,64.5,26.0,Other Financial Services,35,1613.0,10.1,1.0,1,High (50-70%)
AMERICAN INTERNATIONAL GROUP UK LIMITED,,Insurance & Pure Protection,11882,11403.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,58.0,35.7,Other Financial Services,36,-5679.0,-32.3,-6.5,1,High (50-70%)
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",Insurance & Pure Protection,8866,8353.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,55.6,42.1,Other Financial Services,37,-3016.0,-25.4,-2.4,1,High (50-70%)
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",Insurance & Pure Protection,3167,3147.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,54.0,23.7,Other Financial Services,38,-5699.0,-64.3,-1.6,1,High (50-70%)
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,Insurance & Pure Protection,3839,4120.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,34.3,50.9,Other Financial Services,39,,,,0,Lower (<35%)
ATLANTA 1 INSURANCE SERVICES LIMITED,ATLANTA GROUP / ARDONAGH GROUP,Insurance & Pure Protection,3569,3513.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,34.7,65.5,Other Financial Services,40,-270.0,-7.0,0.4,0,Lower (<35%)
AWP Assistance UK Ltd,ALLIANZ SE,Insurance & Pure Protection,2366,1848.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,79.7,13.5,Other Financial Services,41,,,,1,Very High (70%+)
AWP Assistance UK Ltd,ALLIANZ SE,Insurance & Pure Protection,4777,4773.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,69.1,14.1,Other Financial Services,42,2411.0,101.9,-10.6,1,High (50-70%)
AWP Assistance UK Ltd,,Insurance & Pure Protection,2766,2735.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,80.8,16.0,Other Financial Services,43,-2011.0,-42.1,11.7,1,Very High (70%+)
AWP Assistance UK Ltd,ALLIANZ SE,Insurance & Pure Protection,3082,2966.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,71.1,14.3,Other Financial Services,44,316.0,11.4,-9.7,1,Very High (70%+)
AWP Assistance UK Ltd,ALLIANZ SE,Insurance & Pure Protection,2493,2282.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,83.3,15.1,Other Financial Services,45,-589.0,-19.1,12.2,1,Very High (70%+)
AWP P&C S.A.,,Insurance & Pure Protection,770,768.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,19.3,13.3,Other Financial Services,46,,,,0,Lower (<35%)
AWP P&C S.A.,NO GROUP,Insurance & Pure Protection,1166,1111.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,21.6,11.4,Other Financial Services,47,396.0,51.4,2.3,0,Lower (<35%)
AWP P&C S.A.,ALLIANZ SE,Insurance & Pure Protection,1698,,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,40.7,12.2,Other Financial Services,48,532.0,45.6,19.1,0,Moderate (35-50%)
AXA Insurance Designated Activity Company,AXA GROUP,Insurance & Pure Protection,2853,2870.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,52.8,91.4,General Insurance,49,,,,1,High (50-70%)
AXA Insurance Designated Activity Company,,Insurance & Pure Protection,2747,2706.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,50.0,91.4,General Insurance,50,-106.0,-3.7,-2.8,1,High (50-70%)
AXA Insurance Designated Activity Company,AXA GROUP,Insurance & Pure Protection,2527,2541.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,49.4,85.4,General Insurance,51,-220.0,-8.0,-0.6,0,Moderate (35-50%)
AXA Insurance Designated Activity Company,AXA GROUP,Insurance & Pure Protection,2167,2172.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,54.4,84.4,General Insurance,52,-360.0,-14.2,5.0,1,High (50-70%)
AXA Insurance UK Plc,AXA SA,Insurance & Pure Protection,24882,26317.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,65.9,39.7,General Insurance,53,,,,1,High (50-70%)
AXA Insurance UK Plc,AXA GROUP,Insurance & Pure Protection,23169,23954.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,64.2,38.2,General Insurance,54,-1713.0,-6.9,-1.7,1,High (50-70%)
AXA Insurance UK Plc,,Insurance & Pure Protection,26482,26573.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,64.7,34.4,General Insurance,55,3313.0,14.3,0.5,1,High (50-70%)
AXA Insurance UK Plc,AXA GROUP,Insurance & Pure Protection,30407,29612.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,58.4,34.8,General Insurance,56,3925.0,14.8,-6.3,1,High (50-70%)
AXA Insurance UK Plc,AXA GROUP,Insurance & Pure Protection,28525,30358.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,59.3,26.6,General Insurance,57,-1882.0,-6.2,0.9,1,High (50-70%)
AXA PPP Healthcare Limited,AXA SA,Insurance & Pure Protection,41086,40439.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,53.1,81.0,Other Financial Services,58,,,,1,High (50-70%)
AXA PPP Healthcare Limited,AXA GROUP,Insurance & Pure Protection,42181,42226.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,64.1,78.7,Other Financial Services,59,1095.0,2.7,11.0,1,High (50-70%)
AXA PPP Healthcare Limited,,Insurance & Pure Protection,43271,43408.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,58.5,78.9,Other Financial Services,60,1090.0,2.6,-5.6,1,High (50-70%)
AXA PPP Healthcare Limited,AXA GROUP,Insurance & Pure Protection,38139,38584.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,48.6,78.9,Other Financial Services,61,-5132.0,-11.9,-9.9,0,Moderate (35-50%)
AXA PPP Healthcare Limited,AXA GROUP,Insurance & Pure Protection,41657,41555.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,48.0,78.2,Other Financial Services,62,3518.0,9.2,-0.6,0,Moderate (35-50%)
Accelerant Insurance Europe SA/NV UK Branch,NO GROUP,Insurance & Pure Protection,528,307.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,65.1,15.6,Other Financial Services,63,,,,1,High (50-70%)
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,Banking & Credit Cards,3,2.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,100.0,50.0,Mortgage Lender,64,,,,1,Very High (70%+)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Banking & Credit Cards,10,11.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,72.7,9.1,Mortgage Lender,65,7.0,233.3,-27.3,1,Very High (70%+)
Accord Mortgages Limited,,Banking & Credit Cards,19,18.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,100.0,61.1,Mortgage Lender,66,9.0,90.0,27.3,1,Very High (70%+)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Banking & Credit Cards,22,23.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,82.6,43.5,Mortgage Lender,67,3.0,15.8,-17.4,1,Very High (70%+)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Banking & Credit Cards,17,17.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,70.6,5.9,Mortgage Lender,68,-5.0,-22.7,-12.0,1,Very High (70%+)
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,Home Finance,605,550.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,59.8,30.9,Mortgage Lender,69,,,,1,High (50-70%)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Home Finance,567,603.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,54.9,27.5,Mortgage Lender,70,-38.0,-6.3,-4.9,1,High (50-70%)
Accord Mortgages Limited,,Home Finance,941,837.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,60.3,37.4,Mortgage Lender,71,374.0,66.0,5.4,1,High (50-70%)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Home Finance,848,909.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,70.0,31.5,Mortgage Lender,72,-93.0,-9.9,9.7,1,Very High (70%+)
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,Home Finance,975,1022.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,64.5,28.7,Mortgage Lender,73,127.0,15.0,-5.5,1,High (50-70%)
Accredited Insurance (Europe) Ltd,,Insurance & Pure Protection,3602,3560.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,31.3,34.0,Other Financial Services,74,,,,0,Lower (<35%)
Accredited Insurance (Europe) Ltd,NO GROUP,Insurance & Pure Protection,4672,4575.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,33.1,25.0,Other Financial Services,75,1070.0,29.7,1.8,0,Lower (<35%)
Accredited Insurance (Europe) Ltd,NO GROUP,Insurance & Pure Protection,5609,5831.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,36.9,23.1,Other Financial Services,76,937.0,20.1,3.8,0,Moderate (35-50%)
Acm Ulr Limited,NO GROUP,Insurance & Pure Protection,1261,1341.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,53.6,2.0,Other Financial Services,77,,,,1,High (50-70%)
Acm Ulr Limited,BGL GROUP,Insurance & Pure Protection,1511,1403.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,55.4,1.7,Other Financial Services,78,250.0,19.8,1.8,1,High (50-70%)
Acm Ulr Limited,,Insurance & Pure Protection,2629,2449.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,68.6,8.1,Other Financial Services,79,1118.0,74.0,13.2,1,High (50-70%)
Acm Ulr Limited,BGL GROUP,Insurance & Pure Protection,1678,1930.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,60.3,1.7,Other Financial Services,80,-951.0,-36.2,-8.3,1,High (50-70%)
Acm Ulr Limited,MARKERSTUDY GROUP,Insurance & Pure Protection,1247,,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,47.2,11.2,Other Financial Services,81,-431.0,-25.7,-13.1,0,Moderate (35-50%)
Acorn Insurance & Financial Services Ltd,,Insurance & Pure Protection,498,451.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,46.1,23.1,Other Financial Services,82,,,,0,Moderate (35-50%)
Acorn Insurance & Financial Services Ltd,NO GROUP,Insurance & Pure Protection,574,575.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,53.2,17.2,Other Financial Services,83,76.0,15.3,7.1,1,High (50-70%)
Acorn Insurance & Financial Services Ltd,NO GROUP,Insurance & Pure Protection,633,686.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,55.8,19.5,Other Financial Services,84,59.0,10.3,2.6,1,High (50-70%)
Acromas Insurance Company Limited,,Insurance & Pure Protection,6781,7177.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,47.5,49.6,Other Financial Services,85,,,,0,Moderate (35-50%)
Action 365 Ltd,NO GROUP,Insurance & Pure Protection,541,526.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,27.2,10.1,Other Financial Services,86,,,,0,Lower (<35%)
Action 365 Ltd,NO GROUP,Insurance & Pure Protection,1091,1114.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,51.2,4.9,Other Financial Services,87,550.0,101.7,24.0,1,High (50-70%)
Action 365 Ltd,NO GROUP,Insurance & Pure Protection,997,1127.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,35.3,11.1,Other Financial Services,88,-94.0,-8.6,-15.9,0,Moderate (35-50%)
Adrian Flux Insurance Services Group,NO GROUP,Insurance & Pure Protection,1058,1043.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,16.1,90.0,Other Financial Services,89,,,,0,Lower (<35%)
Adrian Flux Insurance Services Group,NO GROUP,Insurance & Pure Protection,1047,1046.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,17.9,78.9,Other Financial Services,90,-11.0,-1.0,1.8,0,Lower (<35%)
Adrian Flux Insurance Services Group,,Insurance & Pure Protection,1033,1045.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,17.0,88.7,Other Financial Services,91,-14.0,-1.3,-0.9,0,Lower (<35%)
Adrian Flux Insurance Services Group,NO GROUP,Insurance & Pure Protection,1388,1388.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,20.7,94.2,Other Financial Services,92,355.0,34.4,3.7,0,Lower (<35%)
Adrian Flux Insurance Services Group,NO GROUP,Insurance & Pure Protection,1271,1272.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,22.2,95.5,Other Financial Services,93,-117.0,-8.4,1.5,0,Lower (<35%)
Advanced Payment Solutions Limited,NO GROUP,Banking & Credit Cards,989,1349.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,16.8,33.7,Other Financial Services,94,,,,0,Lower (<35%)
Advanced Payment Solutions Limited,NO GROUP,Banking & Credit Cards,938,1262.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,19.5,32.9,Other Financial Services,95,-51.0,-5.2,2.7,0,Lower (<35%)
Advanced Payment Solutions Limited,,Banking & Credit Cards,925,1183.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,16.3,30.3,Other Financial Services,96,-13.0,-1.4,-3.2,0,Lower (<35%)
Advanced Payment Solutions Limited,NO GROUP,Banking & Credit Cards,1378,1302.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,20.3,28.0,Other Financial Services,97,453.0,49.0,4.0,0,Lower (<35%)
Advisory Insurance Brokers Limited,NO GROUP,Insurance & Pure Protection,591,551.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,67.2,50.8,Other Financial Services,98,,,,1,High (50-70%)
